date,headline
2021-07-21,Indonesian Covid-positive man disguises himself as wife on Citilink flight in order to fly
2021-07-21,'This was my final curtain bow': Athlete's Olympic dreams crushed by Covid
2021-07-21,Child cases of Covid-19 are rising as schools gear up to reopen. But vaccines for the youngest are still months away
2021-07-19,The latest on the Covid-19 pandemic as Olympics approach
2021-07-20,More infectious Delta variant makes up 83% of new US coronavirus cases as vaccine hesitancy persists
2021-07-20,Study estimates 1.5 million children lost parents or grandparents to Covid-19
2021-07-20,White House has held discussions with Fox News over its Covid-19 coverage
2021-07-20,Tokyo 2020 chief not ruling out an 11th-hour cancellation of the games amid rising Covid-19 cases
2021-07-20,Staff at one Florida hospital figured they had seen the worst of Covid-19. They may be proven wrong
2021-07-20,Inside a Florida hospital facing a record surge of Covid-19 patients
2021-07-16,"Covid-19 'is becoming a pandemic of the unvaccinated,' CDC director says"
2021-07-20,"A White House official and a senior Pelosi aide, both fully vaccinated, have tested positive for Covid-19"
2021-03-25,Traveling to South Africa during Covid-19: What you need to know before you go
2021-07-20,71 cases of Covid-19 linked to Olympic games in Tokyo
2020-10-23,Traveling to Dubai during Covid-19: What you need to know before you go
2020-12-30,Traveling to Canada during Covid-19: What you need to know before you go
2021-03-25,Traveling to China during Covid-19: What you need to know before you go
2021-07-20,"Biden to focus on Covid-19, infrastructure, climate and cybersecurity at Cabinet meeting"
2021-07-20,US sending additional Covid-19 vaccines to Honduras and El Salvador
2021-07-20,US gymnast Kara Eaker's father says she doesn't know where she got Covid-19 before the Olympics
2021-07-20,US renews 'public health emergency' declaration due to Covid-19 pandemic
2021-07-20,A day of reckoning shows America's pandemic battle is sliding backward
2021-07-18,Federal appeals court ruling will allow CDC to enforce Covid rules on cruise ships
2021-07-19,Celebrities who focused on their fitness during the pandemic
2021-07-19,Inside a reopened nightclub as England lifts Covid restrictions
2021-07-19,"American Academy of Pediatrics recommends masks in schools for everyone over 2, regardless of vaccinations"
2021-07-19,Worker shortage is forcing UK businesses to close as Covid cases spike
2021-07-19,The war over misinformation heats up as Covid case counts rise
2021-07-18,Cori 'Coco' Gauff will miss the Tokyo Olympics after testing positive for Covid-19
2020-12-30,Travel to New Zealand during Covid-19: What you need to know before you go
2021-07-19,'This is a complete catastrophe': UN official on Covid in Myanmar
2021-07-19,Investors are worried about the virus again
2021-07-18,Boris Johnson is taking another huge gamble by lifting lockdowns in England. Even he admits it could lead to more deaths from Covid
2021-07-19,Zoom buys Five9 in $14.7 billion deal to prepare for a post-pandemic world
2021-07-19,The Covid travel checklist: What to know before you go
2021-07-19,"5 things to know for July 19: Covid-19, extreme weather, gun violence, DACA, Austria"
2020-12-30,Travel to the UK during Covid-19: What you need to know before you go
2021-07-19,Six British athletes forced to self-isolate in Tokyo after close contact with Covid-19 case on flight to Games
2021-07-19,Thai protesters clash with police as Covid-19 cases continue to surge
2021-07-19,More than 80% of the crew aboard a South Korean destroyer have tested positive for Covid-19
2021-07-19,A Pacific nation's Covid-19 crisis has become a political power play between China and Australia
2021-07-18,Tokyo 2020: Two South African footballers test positive for Covid-19 in Olympic Village
2021-07-18,Here's what vaccinated people need to know as Covid case counts rise
2021-07-18,"Biden unfriends Facebook, betrays Covid frustration"
2021-07-18,US tennis star to miss Olympics after positive Covid-19 test
2021-07-14,"What vaccinated people should know about Covid-19 exposure, tests and more"
2021-07-18,'Culture of Fear' author Barry Glassner on Covid-19 coverage
2021-07-18,Fareed compares the pandemic to the 2008 global crisis
2021-07-18,Opera singers are teaching long-term Covid-19 patients to breathe again
2021-07-18,US surgeon general on tech companies' steps to fight Covid misinformation: 'It's not enough'
2021-07-18,"Start your week smart: Covid-19, Haiti, Britney Spears, Jeff Bezos, Nationals Park"
2021-03-05,Traveling to Brazil during Covid-19: What you need to know before you go
2020-12-30,Traveling to France during Covid-19: What you need to know before you go
2021-07-16,'We jumped the gun': Florida doctor explains why the state's Covid-19 cases are increasing
2021-07-16,"5 things to know for July 16: Extreme weather, Covid, infrastructure, Cuba, Lebanon"
2021-07-15,Indonesia overtakes India as Asia's new Covid-19 epicenter
2021-07-15,"US is 'losing time' in vaccination race as Delta variant becomes more pervasive, expert says"
2020-12-30,Travel to New York City during Covid-19: What you need to know before you go
2021-07-14,July 15 coronavirus news
2021-07-15,California doctor faces federal charges in fake Covid-19 vaccine scheme
2021-07-15,Louisiana's latest Covid-19 surge features more unvaccinated people in their 30s and 40s
2021-07-15,Inside Louisiana hospital with most Covid-19 patients in state
2021-07-15,"Black Americans are battling 'three pandemics,' new report finds"
2021-06-29,Why these parents volunteered their young children for Covid-19 vaccine trials
2020-12-30,Traveling to Spain during Covid-19: What you need to know before you go
2021-07-15,What's behind Macron's bold bet on a Covid health pass
2021-07-15,State Department to require all contractors in Afghanistan to get Covid-19 vaccination
2021-07-15,Why a Covid-19 vaccine isn't available for kids yet
2021-07-15,"Latino Americans are optimistic about the country's future despite being hit hard by the pandemic, a Pew survey finds"
2021-07-14,Catt Sadler warns 'don't let your guard down' after getting sick from Covid-19 while fully vaccinated
2021-07-14,The pandemic walloped their businesses. Here's how they're doing now
2021-07-14,Dr. Gupta: We got tantalizingly close in the race against the coronavirus
2021-07-14,Politics is causing needless deaths in the fight against Covid-19
2021-07-13,"Covid-19 cases are surging in 46 states. In one hot spot, hospitalized patients are younger than ever, doctor says"
2021-07-14,'We are seeing people passing quicker than before': What hospitals look like in US Covid hot spots
2021-07-14,Will we need a Covid-19 vaccine booster?
2021-07-14,"Tennessee is halting outreach on all vaccines for adolescents, including for Covid-19"
2021-07-12,Our dreams are changing as we emerge from the pandemic. Here's how
2021-07-14,"5 things to know for July 14: Covid, gun rights, infrastructure, South Africa, Canada"
2021-06-06,"In rural Georgia, a door-to-door push to get neighbors vaccinated against Covid-19"
2021-07-14,Thailand plans to mix Sinovac and AstraZeneca Covid-19 vaccines. Critics say that's risky
2021-07-14,"Almost half of this capital city's population may have contracted Covid-19, survey finds"
2021-07-12,July 13 coronavirus news
2021-07-13,Banning crowds at the Olympics is a smart pandemic move
2021-07-13,A new poll shows why some vaccine-hesitant Americans decided to get the Covid-19 shot
2020-08-01,Covid-19 travel restrictions state by state
2021-07-11,"In Arkansas, Covid-19 cases surge as state combats vaccine skepticism"
2021-07-12,"5 things to know for July 12: Coronavirus, extreme heat, Haiti, Ethiopia, Cuba"
2021-07-11,It's not just about you. Experts say getting a Covid-19 vaccine protects everyone around you
2020-11-12,Robots are joining the fight against coronavirus in India
2021-07-11,Concerns about unreported child abuse loom large despite easing Covid restrictions
2021-07-12,"Despite being fully vaccinated, immunocompromised man shares his Covid diagnosis and 'long haul' struggle"
2021-07-11,Kristi Noem criticizes GOP governors who enacted Covid-19 mandates while accusing some of rewriting their history
2021-07-11,Covid has South Africa by the throat. How I dodged its scary grip
2021-07-11,Dr. Anthony Fauci on if covid booster shots will be necessary
2021-07-11,Kinzinger slams GOP colleagues for invoking Nazi-era imagery to criticize Covid vaccination efforts
2021-07-11,Covid-19 cases surge in state with one of the lowest vaccination rates
2021-07-10,"With an uptick in Covid-19 cases, there is growing alarm. 'We've seen almost an entire takeover in the Delta variant,' one state official says"
2021-07-08,2 maps that explain how partisanship has poisoned our fight against Covid-19
2021-07-10,The latest on the Covid-19 pandemic
2021-07-10,Engagement ring sales soar as Americans recover from the pandemic
2021-07-10,How long-standing mistrust of government is hurting our vaccination efforts
2021-07-09,What Pfizer's plan for a third coronavirus vaccine dose means for you
2021-07-10,Covid anxiety remains as Pfizer and US government provide different messaging
2021-07-09,Lockdowns toughen in Seoul and Sydney as Delta variant Covid-19 outbreaks grow
2021-07-09,"The pandemic may be better, but it's not over"
2021-07-08,Covid Delta variant threatens unvaccinated
2021-07-08,A *very* unlikely leader of the Covid-19 vaccine push
2021-07-08,24 states report COVID cases up 10% or more in one week as aggressive delta variant spreads
2021-07-08,Coronavirus variants: Here's what we know
2021-07-08,The blunt truth about vaccination
2021-07-08,White House doubles down on Covid-19 strategy as pressure from Delta variant rises
2021-07-08,Bond yields plummet as Covid anxiety grips markets again
2021-07-08,Experts fear the next Covid-19 variant might evade the vaccines that are restoring the developed world
2021-07-08,"Covid-19 vaccines saved nearly 280,000 lives in the US, new research estimates"
2021-07-08,Luxembourg Prime Minister Bettel leaves hospital after Covid-19 treatment
2021-07-08,Covid destroyed 22 million jobs in rich countries
2021-07-08,"5 things to know for July 8: Haiti, coronavirus, Trump, condo collapse, Colombia"
2021-07-08,"With Delta variant spreading, experts split on whether to test vaccinated people for Covid-19"
2021-07-08,Indian Prime Minister fires health minister and 11 others as Covid crisis lingers
2021-07-07,US sends Covid-19 surge team to southwest Missouri after Delta variant fuels rise in cases and hospitalizations
2021-07-08,Indonesia grapples with oxygen crisis amid record Covid cases
2021-07-08,Global Covid-19 death toll surpasses 4 million
2021-07-06,"In America's other pandemic, the dying never stops"
2021-07-06,Luxembourg prime minister in 'serious but stable' condition in hospital with Covid-19
2021-07-06,"5 things to know for July 6: Covid, ransomware, condo search, gun violence, Hong Kong"
2021-07-06,India's billionaires got richer while coronavirus pushed millions of vulnerable people into poverty
2021-07-05,"Rates of new Covid-19 cases are almost 3 times higher in states with low vaccination rates, new data shows"
2021-07-05,England takes a big Covid-19 gamble as Johnson sets out plan to scrap lockdown rules
2021-07-05,Duchess of Cambridge forced to self-isolate after Covid-19 contact
2021-07-05,Duchess of Cambridge self-isolating after Covid contact. Here's what we know
2020-12-30,Traveling to Ghana during Covid-19: What you need to know before you go
2021-07-05,"5 things to know for July 5: Surfside, Covid-19, Afghanistan, the Pope, golf shooting"
2021-07-04,Biden's Fourth of July celebrations clouded by a gnawing concern over the Delta variant of Covid-19
2021-07-05,Thousands thought they were getting the Covid vaccine. They were injected with salt water instead
2021-07-05,"Even with our 'darkest days' gone, Biden can't declare full independence from virus"
2021-07-05,Staging Euro 2020 semis and final in London is 'recipe for disaster.' Is football -- and Covid-19 spike -- coming home?
2021-07-04,Biden touts US coronavirus progress at July 4 White House event: 'America is coming back together'
2021-07-04,'One of the greatest American success stories': Dr. Reiner on Covid fight
2021-07-04,Bash presses GOP gov. on vaccination rate: Why is it so hard?
2021-07-04,Bash presses Covid-19 response coordinator on falling short of July 4th goal
2021-07-04,Here's how to design drug trials to defeat the next pandemic
2021-07-04,"Start your week smart: Covid-19, Surfside, Elsa, Japan, Massachusetts standoff"
2021-07-01,US to share tens of millions more Covid-19 vaccines this summer
2021-07-01,"Covid-19 pandemic increased number of people at risk of human trafficking, State Department report says"
2020-04-16,Veterans mobilize to serve -- and vaccinate -- fellow Americans to fight Covid-19
2020-10-23,Traveling to Italy during Covid-19: What you need to know before you go
2021-03-11,Travel to Australia during Covid-19: What you need to know before you go
2021-07-01,CNN Heroes: Team Rubicon's Covid-19 vaccination mission
2021-07-01,White House to deploy response teams focused on combating Delta variant of Covid-19
2021-07-01,"5 things to know for July 1: Trump Org, Bill Cosby, condo collapse, Covid-19, China"
2021-06-29,Many Covid vaccine doses donated to African countries are not recognized by EU travel certificate
2021-06-30,Here's what is known about the Delta variant of coronavirus
2021-07-01,The Delta variant leaves children vulnerable to Covid-19. Here's how to protect your children
2021-06-30,Kim Jong Un warns of 'grave consequences' and fires top officials after Covid-19 incident
2021-06-30,Covid-19 is killing Brazilian children at alarming rates. Many may be going undiagnosed
2021-06-30,Fauci on vaccination rates: It's almost like there's two Americas
2021-02-23,"Exclusive: Inside Russia's new Covid-19 vaccine factory (Feb, 2021)"
2021-06-29,Desperate expatriate workers storm Islamabad vaccination center
2021-06-28,"To fully vaccinate children against Covid-19 by the time school starts, many parents must act now"
2021-06-28,US Covid-19 response faces doozy of a challenge: Vaccinating kids
2021-06-25,"Cases of type 2 diabetes among children more than doubled during the coronavirus pandemic, research finds"
2021-06-28,Life after the 1918 flu has lessons for our post-pandemic world
2021-06-28,"5 things to know on June 28: Condo collapse, Covid, airstrikes, infrastructure, China"
2021-06-28,Sydney under stay-at-home order as Covid-19 cases in Australia rise
2021-06-28,I tested positive for Covid-19 twice in two cities. The responses were vastly different
2021-06-28,Why US Republicans are so focused on the origins of the Covid-19 pandemic
2021-06-27,Bruce Springsteen reopens Broadway with first full-capacity show since pandemic
2021-06-27,"'Step up and get vaccinated': How adults should protect children from Covid-19 variants, expert says"
2021-06-27,"Start your week smart: Covid-19, building collapse, balloon crash, Pride, big tipper"
2021-06-27,Cruising was a Covid disaster. Now it claims to be the 'safest vacation available'
2021-06-26,"NC State has been ruled out of the College World Series due to Covid-19 protocols, advancing Vanderbilt to the finals"
2021-06-26,How the first cruise of the Covid era got ready to safely set sail
2021-06-26,An inside look at how the first Covid-era cruise prepared to set sail
2021-06-26,FDA adds a warning to Covid-19 vaccines about risk of heart inflammation
2021-06-26,Australia's biggest city heading into two-week hard lockdown to contain Delta coronavirus outbreak
2021-06-24,"5 things to know for June 24: Infrastructure, Covid, Afghanistan, Capitol, Canada"
2021-06-23,His wife died by suicide after a 13-month battle with long-haul Covid. He hopes help is on the way for others
2021-06-23,Scientist says early coronavirus samples were deleted from NIH database
2021-06-23,"San Francisco's crime surge fueled by Covid-19, poverty and homelessness"
2021-06-23,"San Francisco faces crime surge fueled by COVID-19, poverty, public policy changes"
2021-06-23,"Benefits of Covid-19 vaccination clearly outweigh risks of rare heart inflammation, CDC vaccine advisers told"
2021-06-23,"Nearly every new Covid-19 death is now entirely preventable, CDC director says"
2021-06-23,Widow of Nick Cordero's message to the vaccine-hesitant: You don't want this virus
2021-06-23,Covid outbreak at US Embassy in Afghanistan grows
2021-06-23,"San Francisco confronts surging crime, drugs and homelessness as it tries to bounce back from Covid-19"
2021-06-23,'There is a tsunami coming': Widower warns of Covid 'long haulers' plight
2021-06-21,The latest on the Covid-19 pandemic and the Delta variant
2021-06-23,"US births fell during the pandemic, CDC data show"
2021-06-23,Will a Covid-19 vaccine booster be needed later this year?
2021-06-21,Biden administration announces plan to share 55 million Covid-19 doses abroad
2021-06-21,Foo Fighters play first capacity Madison Square Garden show since Covid
2021-06-20,First US trial cruise testing Covid safety protocols sets sail
2021-06-20,Traffic deaths jump for Black Americans who couldn't afford to stay home during Covid
2021-06-21,Airbus designs inflight Covid quarantine tent
2021-06-21,"5 things to know for June 21: Gun violence, coronavirus, voting, Russia, Ethiopia"
2021-06-20,It has been 500 days since the first known US death from Covid-19. Variants and low vaccination rates threaten to prolong the pandemic
2021-06-21,Delta variant fuels the rise of new Covid cases across the globe
2021-06-21,US extends Covid-19 travel restrictions with Canada and Mexico
2021-06-20,Sullivan: We're not going to accept China's stonewalling on covid probe
2021-06-18,"June 20, 2021, Covid-19 news"
2021-06-20,Covid-19 pandemic magnifies workforce crisis in veterinary field
2021-06-20,Rev. Franklin Graham: 'Covid can kill you and this vaccine could possibly save your life'
2021-06-20,"Start your week smart: Covid vaccine, Georgia, EU, Iran, Britney Spears"
2021-06-20,Ugandan Olympic coach tests positive for Covid after arriving in Japan
